vendor,is_digital,agencies,description,transaction_count,fy2016_spending,fy2017_spending,fy2018_spending,fy2019_spending,fy2020_spending,fy2021_spending,fy2022_spending,fy2023_spending,fy2024_spending,fy2025_spending,budget_codes_fy25,expense_categories_fy25,pct_confirmed_digital_fy25
Ivalua Inc,Digital,Mayoralty,"Procurement software vendor - builds and maintains PASSPort, NYC's procurement and sourcing solutions portal for MOCS.",131,0,11538883,4561999,14951536,14243774,8889748,11144448,11681562,9816483,3405305,"0901 (100%, TECHNOLOGY STRATEGY)",CONTRACTUAL SERVICES GENERAL (100%),0.0
NAGARRO INC,Digital,Department of Education; Department of Social Services; Housing Preservation and Development; OFFICE OF CRIMINAL JUSTICE; SCHOOL CONSTRUCTION AUTHORITY,"Global IT consulting firm (Germany-based). Digital engineering, technology consulting, AI/ML. 20,000+ employees.",0,0,0,0,605675,2637027,5902043,2036865,33446403,10859550,36616181,"7719 (57%, DIIT); 1108 (16%, GENERAL EDUCATION BUSES); 1731 (12%, PROGRAM MANAGMENT & CONTRACT MAINTENANCE); 5411 (9%, RELATED SERVICES -CENTRALLY ADMINISTERED); 9940 (2%, DHS ITS); E707 (2%, 040 E-2366); 6275 (1%, ERP DELEADING CD); 4003 (1%, OFFICE OF SPECIAL ENFORCEMENT CONTRACTS); E706 (0%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 1400 (0%, MGT SERVICES - INFO SYSTEMS)",PROF SERV COMPUTER SERVICES (96%); ADMINISTRATIVE EXPENSES (2%); PROF SERV OTHER (1%); FIXED CHARGES - GENERAL (1%); OTHR SERV AND CHRGS-GENERAL (0%),96.0
"CLOUD SOFTWARE GROUP, INC.",Digital,Police Department,"Enterprise software company formed from Citrix + TIBCO merger. Virtualization, VDI, integration software.",0,0,0,0,0,0,0,0,0,8941587,17476067,"4601 (100%, MANAGEMENT INFORMATION SYSTEMS)",PROF SERV COMPUTER SERVICES (100%); PROMPT PAYMENT INTEREST (0%),100.0
CURRIER MCCABE & ASSOCIATES INC,Digital,Department of Education; Department of Homeless Services; Department of Social Services; Housing Preservation and Development,"IT consulting firm (NY-based). Oracle partner, applications development, government contracts. dba CMA Consulting.",0,6723861,10460641,9439058,26851088,15002252,16608894,14706575,15262827,20323365,9792214,"9940 (56%, DHS ITS); 7719 (16%, DIIT); 9912 (14%, MANAGEMENT INFORMATION SYSTEMS); DSAS (5%, HPD: DEVELOP & DEPLOY SUBSIDY AUTOMATION); CR27 (3%, ARPA ACL - APS GRANT #3); 9944 (2%, MEDICAL ASSISTANCE AOTPS); 9424 (2%, OCSS AOTPS); 8910 (2%, ESG-HOMELESS MANAGEMENT INFORMATION SYST); OMNY (1%, DSS: HRA; CITYWIDE: FAIR FARES INTEGRATI); 1500 (0%, DEPTY COMM ADMINSTRTVE SERVCES)",PROF SERV COMPUTER SERVICES (94%); CAPITAL ONLY FUNDED SBITA (5%); CAPITAL PURCHASED EQUIPMENT (1%); PROMPT PAYMENT INTEREST (0%),99.0
SoundThinking Inc,Mixed,Police Department,Public safety technology company. ShotSpotter gunshot detection system - acoustic sensors + software for law enforcement.,0,0,0,0,0,0,0,0,0,7311623,9550338,"4601 (100%, MANAGEMENT INFORMATION SYSTEMS)",PROF SERV COMPUTER SERVICES (100%),100.0
SVAM INTERNATIONAL INC,Mixed,City University of New York; Department of Citywide Administrative Services; Department of Design and Construction; Department of Education; Department of Environmental Protection; Department of Social Services; Financial Information Services Agency; SCHOOL CONSTRUCTION AUTHORITY,"IT staffing & consulting firm. NYC-certified MBE. 750+ employees across US, India, Mexico.",0,6036056,4804293,5143880,5406428,7002059,7669490,10120824,9456017,9653671,20420941,"TEC5 (34%, BL 2365_TEC5); 0525 (18%, UNIVERSAL METERING OTPS); E706 (10%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); E707 (10%, 040 E-2366); EEO1 (8%, DCAS, CITYWIDE: IT EQUIPMENT SYSTEM UPGR); 7719 (6%, DIIT); 9940 (3%, DHS ITS); 018C (2%, ITS CLT); 1054 (2%, MANAGEMENT INFORMATION SERVICE); 1290 (1%, DCAS IT)",CONSTRUCTION-BUILDINGS (35%); PROF SERV COMPUTER SERVICES (32%); ADMINISTRATIVE EXPENSES (20%); CAPITAL PURCHASED EQUIPMENT (8%); EXPENSE ONLY FUNDED SBITA (2%); DATA PROCESSING EQUIPMENT MAINTENANCE (2%); OTHR SERV AND CHRGS-GENERAL (1%); PROF SERV ENGINEER & ARCHITECT (1%); CONTRACTUAL SERVICES GENERAL (1%); PROMPT PAYMENT INTEREST (0%),34.0
WORKDAY INC,Digital,Brooklyn Public Library,Major HR/Finance SaaS platform. Cloud-based ERP for human capital management and financial management.,0,0,0,282188,271788,271788,312644,0,9000,9120,4586329,"NERP (100%, BROOKLYN PUBLIC LIBRARY, PURCHASE OF)",CAPITAL ONLY FUNDED SBITA (100%),100.0
NTT DATA AMERICAS INC,Mixed,Department of Education; SCHOOL CONSTRUCTION AUTHORITY,"Global IT consulting firm (Japan-based subsidiary of NTT). 94,000 employees. Cloud, digital transformation, infrastructure.",0,0,0,0,0,0,0,0,0,35334567,94649700,"DL05 (33%, 2365_DL05); E706 (19%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 4301 (16%, GE INST & SCHOOL SUPERVISION ELE/MIDDLE); 7719 (10%, DIIT); SSBT (4%, SMART SCHOOLS BOND ACT (SSBA); DLT5 (3%, DOE SCHOOL ENTRY LOCKING AND EMERGENCY); CCL5 (3%, DOE, CLASSROOM CONNECTIVITY PRJT, INCLD); 05DL (2%, 2366_05DL); E705 (2%, 6TH PLAN - BL 2364); 1733 (2%, SKILLED TRADES)",CONSTRUCTION-BUILDINGS (69%); DATA PROCESSING EQUIPMENT MAINTENANCE (26%); PROF SERV COMPUTER SERVICES (5%); TELECOMMUNICATIONS MAINT (0%); OTHR SERV AND CHRGS-GENERAL (0%); OFFICE EQUIPMENT MAINTENANCE (0%); SUPPLIES + MATERIALS - GENERAL (0%),5.0
CGI TECHNOLOGIES AND SOLUTIONS INC,Mixed,Department of Citywide Administrative Services; Department of Finance; Department of Social Services; Financial Information Services Agency,"Major IT consulting firm (Canada-based). 94,000 employees. 42% revenue from government contracts.",0,10770981,8425411,5861115,13157238,11745004,11237841,11587850,9516628,9723243,10906746,"0114 (40%, STARS); 4000 (32%, FMS3 MAINTENANCE); 9940 (21%, DHS ITS); ACCT (7%, FISA-OPA FMS COST ACCOUNTING MODULE IT E)",DATA PROCESSING EQUIPMENT MAINTENANCE (53%); PROF SERV COMPUTER SERVICES (40%); CAPITAL PURCHASED EQUIPMENT (7%),40.0
ENTERPRISE PEOPLE INC,Digital,Department of Homeless Services; Department of Social Services,IT staffing firm providing technology consultants to government agencies.,0,0,0,624214,2558704,4138283,5890851,6259316,5235665,4616117,5108162,"9940 (34%, DHS ITS); 9912 (19%, MANAGEMENT INFORMATION SYSTEMS); IVSS (12%, HRA; PROCURE PROFESSIONAL SRVCS, HARDWAR); 9424 (11%, OCSS AOTPS); 9580 (5%, PUBLIC ENGAGEMENT AOTPS); 9904 (5%, HHS-CONNECT OTPS); CR27 (4%, ARPA ACL - APS GRANT #3); CAR1 (4%, DHS: PROCURE PROFESSIONAL SRVCS FOR CLIE); 9944 (3%, MEDICAL ASSISTANCE AOTPS); 6234 (2%, HEAP 44 ADMIN)",PROF SERV COMPUTER SERVICES (84%); CAPITAL PURCHASED EQUIPMENT (12%); SPLIT FUNDED SBITA (4%),84.0
"ManpowerGroup Public Sector, Inc.",Digital,Department of Homeless Services; Department of Social Services,"Government IT staffing subsidiary of ManpowerGroup (world's 3rd largest workforce company). Cleared talent, federal staffing.",0,2184800,1015647,906225,1261672,5873375,3065150,2789724,9409454,5323733,3957480,"9912 (48%, MANAGEMENT INFORMATION SYSTEMS); 9940 (25%, DHS ITS); 9580 (4%, PUBLIC ENGAGEMENT AOTPS); 8910 (4%, ESG-HOMELESS MANAGEMENT INFORMATION SYST); 9424 (4%, OCSS AOTPS); 9972 (4%, COC SSO CAPS DV BONUS GRANT); CR27 (4%, ARPA ACL - APS GRANT #3); 9944 (3%, MEDICAL ASSISTANCE AOTPS); 9942 (3%, COC SSO CAPS GRANT AOTPS); 9733 (3%, WECARE CMS)",PROF SERV COMPUTER SERVICES (100%),100.0
IMAGEWORK TECHNOLOGIES CORP,Digital,Department of Education; Fire Department; Police Department,"Management consulting & systems integration firm (NY-based, founded 1995). MWBE. Custom software for government.",0,650406,790960,701292,826064,1141818,1313698,931596,1608582,1076073,3677183,"7719 (68%, DIIT); 5601 (19%, MEDICAL DIVISION); 5207 (6%, BUREAU OF HEALTH SERVICES OTPS); 4262 (5%, WTC CCE FFS - NON SEFA (EFF. 9/29/22); 3027 (1%, FISCAL SERVICES); 3117 (1%, CENTRAL SERVICES); 3307 (0%, TECHNOLOGY DEVELOPMENT & SYSTEMS)",PROF SERV COMPUTER SERVICES (80%); CONTRACTUAL SERVICES GENERAL (12%); MAINT & REP GENERAL (7%); PROF SERV OTHER (1%); PROMPT PAYMENT INTEREST (0%),80.0
DICE IT SOLUTIONS LIMITED LIABILITY COMPANY,Digital,Department of Education; Department of Social Services,"IT consulting & staffing firm (dba TechProjects). MWBE. Digital transformation, Oracle, Salesforce.",0,0,0,0,0,0,0,811187,410268,1097109,3120206,"9912 (41%, MANAGEMENT INFORMATION SYSTEMS); 7719 (32%, DIIT); 9940 (16%, DHS ITS); IVSS (8%, HRA; PROCURE PROFESSIONAL SRVCS, HARDWAR); 4648 (3%, GE CENTRAL MANAGED SCH SUPP)",PROF SERV COMPUTER SERVICES (92%); CAPITAL PURCHASED EQUIPMENT (8%),92.0
"Planned Systems International, Inc.",Digital,Department of Social Services,"Federal IT solutions provider (MD, founded 1988). Cyber security, healthcare IT. Minority-owned.",0,2538767,2109183,1807256,2317147,2429496,182108,4683336,1978975,2469115,2002486,"9912 (100%, MANAGEMENT INFORMATION SYSTEMS)",PROF SERV COMPUTER SERVICES (100%),100.0
DECCAN INTERNATIONAL,Digital,Fire Department,"Fire & EMS decision-support software company (San Diego, founded 1995). Response time optimization software.",0,1292304,1420232,764363,951751,957972,1087057,923424,792610,974945,1218968,"4322 (58%, FFY 2023 URBAN AREA SECURITY INITIATIVE); HG03 (42%, UASI 2024 GRANT)",PROF SERV COMPUTER SERVICES (100%),100.0
TEACHERS SUPPORT NETWORK INC,Digital,Department of Education,Education technology company. Teacher recruitment platform with 150K+ candidate database.,0,0,0,0,0,0,0,875408,998354,942054,1097450,"4648 (92%, GE CENTRAL MANAGED SCH SUPP); 8888 (8%, REIMBUR SUP-CENTL SCH SUP PROG & SERV)",PROF SERV COMPUTER SERVICES (100%),100.0
Fusemachines Inc.,Digital,Campaign Finance Board,"AI/ML products company (NYC, founded 2013). Enterprise AI solutions. NASDAQ-listed (FUSE).",0,0,0,0,0,0,0,0,15500,18750,894041,"1004 (100%, TECHNOLOGY)",PROF SERV COMPUTER SERVICES (100%); PROMPT PAYMENT INTEREST (0%),100.0
"PURVIS SYSTEMS, INCORPORATED",Mixed,Fire Department,"Public safety technology firm (RI, founded 1973). FDNY Fire Dispatch System developer for 45+ years.",0,8482098,10978735,10010627,7952725,8468984,12381456,21964585,14670645,10984185,10426608,"7600 (67%, ECTP RELATED COSTS); 3307 (8%, TECHNOLOGY DEVELOPMENT & SYSTEMS); 4322 (4%, FFY 2023 URBAN AREA SECURITY INITIATIVE); 4212 (4%, FFY 2022 URBAN AREA SECURITY INITIATIVE); 4222 (4%, FFY 2022 STATE HOMELAND SECURITY GRANT); 4332 (3%, FFY 2023 STATE HOMELAND SECURITY GRANT); E012 (2%, HURRICANE SANDY CONDUIT PROJECT); 5557 (1%, OUTSIDE PLANT); 4202 (1%, FFY 2021 STATE HOMELAND SECURITY GRANT); 3984 (1%, 2023 STATEWIDE INTEROPERABLE COMM.GRANT)",DATA PROCESSING EQUIPMENT MAINTENANCE (53%); PROF SERV COMPUTER SERVICES (28%); PROF SERV OTHER (16%); MAINT & REP GENERAL (2%); CAPITAL ONLY FUNDED SBITA (1%); CAPITAL PURCHASED EQUIPMENT (0%); MAINT & OPER OF INFRASTRUCTURE (0%); PROMPT PAYMENT INTEREST (0%),29.0
QED INC,Mixed,Department of Social Services; SCHOOL CONSTRUCTION AUTHORITY,"IT consulting & staffing firm (NYC, founded 1993). Woman-owned. Staff augmentation, cyber security.",0,0,0,0,3686527,5167811,7679388,10378551,8664387,5991000,3138984,"E707 (41%, 040 E-2366); 9912 (30%, MANAGEMENT INFORMATION SYSTEMS); E706 (12%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 9942 (10%, COC SSO CAPS GRANT AOTPS); 9424 (5%, OCSS AOTPS); 9945 (2%, HASA AOTPS)",PROF SERV COMPUTER SERVICES (47%); ADMINISTRATIVE EXPENSES (35%); CONSTRUCTION-BUILDINGS (18%),47.0
AITA CONSULTING SERVICES INC,Digital,Department of Citywide Administrative Services; Department of Environmental Protection; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Small Business Services; Department of Transportation; Department of Youth and Community Development; Fire Department; Housing Preservation and Development; Police Department,"IT consulting firm (NJ, founded 2006). AI/ML, cloud, RPA, staff augmentation. MWBE.",0,0,0,0,0,140471,139933,253551,0,521814,1063725,"1290 (48%, DCAS IT); 7333 (20%, HUMAN CAPITAL ADMINISTRATION); 6285 (8%, ERP DELEADING CD); MSME (4%, OTI: MYCITY APPLICATION DEVELOPMENT INCL); 2752 (4%, FFY20 URBAN AREA SECURITY INITIATIVE); 2120 (4%, CIVIL SERVICE EXAM DEVELOPMENT AND ADMIN); 7195 (4%, STOREHOUSE CHARGES - IT); 3307 (3%, TECHNOLOGY DEVELOPMENT & SYSTEMS); 6128 (2%, FFY2018 UASI CTL OTPS); 3612 (2%, ADMIN OTPS)",PROF SERV COMPUTER SERVICES (77%); PURCH DATA PROCESSING EQUIPT (14%); CAPITAL PURCHASED EQUIPMENT (4%); DATA PROCESSING EQUIPMENT MAINTENANCE (3%); SUPPLIES + MATERIALS - GENERAL (2%); DATA PROCESSING SUPPLIES (0%),77.0
ImageWork USA LLC,Digital,Department of Design and Construction; Department of Information Technology and Telecommunications; Department of Sanitation; Fire Department,Software development firm. Related to ImageWork Technologies. Government custom software.,0,61975,56305,129295,172350,218550,108000,239200,483535,293830,1040810,"5207 (27%, BUREAU OF HEALTH SERVICES OTPS); 1084 (16%, INFORMATION TECHNOLOGY-OTPS); 018C (12%, ITS CLT); 4262 (11%, WTC CCE FFS - NON SEFA (EFF. 9/29/22); 8700 (9%, HOUSING RECOVERY OFFICE (HRO); 3307 (7%, TECHNOLOGY DEVELOPMENT & SYSTEMS); 3027 (6%, FISCAL SERVICES); 7390 (5%, BUR BUD & CONTRACT MNGMT); 8021 (3%, BIB TISHMAN CITY FUNDED); 020C (3%, CAPITAL PROJECT SCOPE DEVELOPMENT)",PROF SERV COMPUTER SERVICES (78%); DATA PROCESSING EQUIPMENT MAINTENANCE (9%); CONTRACTUAL SERVICES GENERAL (5%); DATA PROCESSING SUPPLIES (5%); PROF SERV ENGINEER & ARCHITECT (3%),78.0
LEARNINGTIMES LLC,Digital,Department of Education,"Online learning platform (NYC). Produces conferences, webcasts, educational programs. 20 years experience.",0,340436,147695,282435,132175,199037,560290,916888,580187,795203,817845,"7215 (58%, OFFICE OF PARENT ENGAGEMENT); 7265 (18%, OFFICE OF LEGAL SERVICES); 4648 (8%, GE CENTRAL MANAGED SCH SUPP); 7260 (7%, PORTFOLIO PLANNING); 5101 (3%, CLASSRM INST & SCH SUPERVISION - CWSPED); 7239 (3%, OFFICE OF FIELD SUPPORT); 5105 (2%, INSTRUCTIONAL SUPPORT SERVICES - CWSPED); 2640 (1%, FIELD SUPPORT CENTERS (FSC); 7251 (0%, OSEPO)",PROF SERV COMPUTER SERVICES (98%); TELEPHONE & OTHER COMMUNICATNS (2%),98.0
TNT STAFFING LLC,Digital,Administration for Children's Services,"IT staffing firm (NJ, founded 2005). MWBE. Technology staffing for telecom, financial services, healthcare.",0,0,0,0,0,61480,95104,20020,207284,557354,788744,"6633 (100%, MANAGEMENT INFORMATION SYSTEM)",PROF SERV COMPUTER SERVICES (100%),100.0
DEF METHOD INCORPORATED,Digital,Campaign Finance Board,"Software development consultancy (NYC, founded 2014). Agile methodology. Custom software for enterprise clients.",0,154400,319470,146384,30631,242256,164388,83085,449540,795008,787938,"1005 (100%, CANDIDATE GUIDANCE POLICY)",PROF SERV COMPUTER SERVICES (100%),100.0
GC PARTNERS LLC,Digital,Department of Citywide Administrative Services; Law Department,"Legal technology consulting firm (founded 2004). Matter management, Litify/Salesforce implementations.",0,0,0,0,8325,28731,92519,143969,105112,219125,765600,"LSLS (96%, LAW DEPARTMENT: LAW CASE & MATTER MANAGE); 0201 (4%, ADMINISTRATIVE SERVICES DIV.); 1601 (0%, MANAGEMENT INFO SVCS)",CAPITAL ONLY FUNDED SBITA (96%); PROF SERV OTHER (4%); PROF SERV COMPUTER SERVICES (0%),96.0
GENESYS CONSULTING SERVICES INC,Digital,Department of Social Services; Mayoralty,"IT staffing firm (Albany NY, founded 1987). Woman-owned. 30+ years government experience.",0,654263,511808,1193185,957220,1080382,777606,220796,275772,185812,1618128,"0910 (56%, ADMINISTRATION CTL); 0901 (34%, TECHNOLOGY STRATEGY); 9912 (10%, MANAGEMENT INFORMATION SYSTEMS)",CONTRACTUAL SERVICES GENERAL (56%); PROF SERV COMPUTER SERVICES (44%); PROMPT PAYMENT INTEREST (0%),44.0
ORION SYSTEMS INTEGRATORS LLC,Mixed,Department of Citywide Administrative Services; Financial Information Services Agency,"IT services/consulting firm (NJ, founded 1993). Now operates as Orion Innovation. 5,000+ employees globally.",0,0,0,0,0,0,1832579,2727568,2175148,1879421,1575598,"CAPU (30%, FISA-OPA NYCAPS SOFTWARE UPGRADE INCL: P); 5000 (23%, CITYTIME); 0101 (13%, INTERNAL AUDIT); 2000 (13%, NYCAPS); ACCT (10%, FISA-OPA FMS COST ACCOUNTING MODULE IT E); WSVC (10%, FMS INTEGRATION SOLUTION SOFTWARE UPGRAD)",CAPITAL PURCHASED EQUIPMENT (50%); PROF SERV COMPUTER SERVICES (50%),50.0
HITORRA TECHNOLOGIES LLC,Mixed,Health and Hospitals Corporation,"IT solutions provider & value-added reseller (White Plains, NY). Infrastructure, Cisco partner. NYS certified.",0,0,0,0,0,0,0,0,24910907,11896127,16197140,"JG47 (54%, HHC: SYSTEMWIDE: NETWORK IT UPGRADE: FIR); JG67 (26%, HHC, 55 WATER ST (MN); JG45 (11%, HHC, SYSTEMWIDE: NETWORK IT UPGRADE: PUR); JG19 (5%, HHC: SYSTEMWIDE: NETWORK IT UPGRADE: PUR); JG36 (3%, HHC, SYSTEMWIDE: NETWORK IT UPGRADE: PUR); JF72 (0%, HHC: NORTH CENTRAL BRONX (3424 KOSSUTH A)",CAPITAL PURCHASED EQUIPMENT (95%); CAPITAL ONLY FUNDED SBITA (5%),5.0
22ND CENTURY TECHNOLOGIES INC,Digital,Department of Citywide Administrative Services; Department of Education; Department of Homeless Services; Department of Social Services; Department of Transportation; Financial Information Services Agency; Fire Department,"IT staffing company (VA). 6,000+ employees. Serves federal, state, local government. MWBE.",0,0,0,0,3603868,9477783,7340761,6145949,7470597,31010033,22562614,"8843 (27%, REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS); 9926 (11%, DEPT OF HOMELESS SVC AOTPS); 4648 (8%, GE CENTRAL MANAGED SCH SUPP); 4242 (6%, WTC DATA CENTER (NON SEFA); 4601 (5%, GE INSTRUCTION & SCHOOL SUPERVISION - HS); 8888 (5%, REIMBUR SUP-CENTL SCH SUP PROG & SERV); 3117 (5%, CENTRAL SERVICES); 7701 (4%, DIVISION OF FINANCE OPERATIONS); 4232 (4%, WTC CCE ADMIN (SEFA); 4301 (3%, GE INST & SCHOOL SUPERVISION ELE/MIDDLE)",TEMPORARY SERVICES (86%); PROF SERV OTHER (12%); CAPITAL PURCHASED EQUIPMENT (1%); PROF SERV COMPUTER SERVICES (0%); PROMPT PAYMENT INTEREST (0%),0.0
THE REMI GROUP LLC,Mixed,Board of Elections; City Clerk; City University of New York; Department of Correction; Department of Design and Construction; Department of Education; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Small Business Services; Department of Social Services; Financial Information Services Agency; Mayoralty; Office of Payroll Administration; Office of the Comptroller; SCHOOL CONSTRUCTION AUTHORITY,"Equipment maintenance management company (Charlotte, NC). Manages service contracts for IT/telecom equipment.",0,1730476,2179639,4434709,5906207,11389952,15254398,10032819,28425221,19935199,19910417,"4648 (54%, GE CENTRAL MANAGED SCH SUPP); 1602 (13%, R I TELECOMMUNICATIONS); 8003 (5%, HEALTH AFFAIRS); 7007 (4%, CENTRAL SECURITY); 8000 (2%, UA 008 RESERVE); 9912 (2%, MANAGEMENT INFORMATION SYSTEMS); 0119 (2%, FLEET AND SECURITY); 0234 (2%, WATER SUPPLY DRINKING WATER QU); 2160 (2%, PUBLIC HEALTH LABORATORY); 8843 (2%, REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS)",TELECOMMUNICATIONS MAINT (75%); MAINT & REP GENERAL (10%); PURCH DATA PROCESSING EQUIPT (5%); DATA PROCESSING EQUIPMENT MAINTENANCE (4%); OTHR SERV AND CHRGS-GENERAL (3%); CONTRACTUAL SERVICES GENERAL (1%); SUPPLIES + MATERIALS - GENERAL (0%); DATA PROCESSING SUPPLIES (0%); OFFICE EQUIPMENT MAINTENANCE (0%); TELEPHONE & OTHER COMMUNICATNS (0%),0.0
MICROSOFT CORPORATION,Mixed,Administration for Children's Services; Campaign Finance Board; City University of New York; Department of City Planning; Department of Citywide Administrative Services; Department of Consumer & Worker Protection; Department of Education; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Probation; Department of Sanitation; Department of Social Services; Department of Transportation; Department of Youth and Community Development; Financial Information Services Agency; Fire Department; Housing Preservation and Development; Law Department; Mayoralty; Office of the Comptroller; Police Department; SCHOOL CONSTRUCTION AUTHORITY,"Global software company. Operating systems, productivity software, cloud services (Azure), enterprise solutions.",0,8264745,3959007,4231257,8151633,7672356,11648403,11024140,10700053,9058785,13757627,"4601 (19%, MANAGEMENT INFORMATION SYSTEMS); 8121 (16%, MICROSOFT UNIFIED CITYWIDE SUPPORT); 1054 (8%, MANAGEMENT INFORMATION SERVICE); 9912 (5%, MANAGEMENT INFORMATION SYSTEMS); 4631 (5%, DAS); CV38 (4%, ELC - DATA MODERATION); E707 (4%, 040 E-2366); 3330 (4%, IT OPERATIONS - DATA PROTECTION SERVICES); 3310 (4%, INFRASTRUCTURE TECH ARCHITECTURE); 0104 (3%, MANAGEMENT INFORMATION SERVICE)",DATA PROCESSING EQUIPMENT MAINTENANCE (53%); CONTRACTUAL SERVICES GENERAL (29%); ADMINISTRATIVE EXPENSES (4%); PROF SERV COMPUTER SERVICES (4%); MAINT & REP GENERAL (4%); OTHR SERV AND CHRGS-GENERAL (3%); DATA PROCESSING SUPPLIES (3%); EQUIPMENT GENERAL (0%),4.0
GOVCONNECTION INC,Mixed,Board of Elections; City University of New York; Department of Education; Independent Budget Office,"IT reseller for government (subsidiary of PC Connection). Hardware, software, IT solutions for public sector.",0,235604,718986,1848840,636991,401629,529644,294948,115623,1984132,9061663,"7719 (95%, DIIT); 7413 (2%, FINANCIAL SYSTEMS AND BUSINESS OPS); 6400 (1%, QUEENSBOROUGH COMM COLLEGE); 0201 (1%, DEPARTMENTAL OPERATIONS); 6915 (0%, LAGUARDIA TECHNOLOGY FEES); 6500 (0%, KINGSBOROUGH COMM COLLEGE); 6515 (0%, KINGSBOROUGH TECHNOLOGY FEES); 6300 (0%, BRONX COMMUNITY COLLEGE); 6800 (0%, HOSTOS COMMUNITY COLLEGE); 2000 (0%, OTHER THAN PERSONAL SERVICE)",SUPPLIES + MATERIALS - GENERAL (97%); OTHR SERV AND CHRGS-GENERAL (1%); DATA PROCESSING EQUIPMENT MAINTENANCE (1%); DATA PROCESSING SUPPLIES (1%); PURCH DATA PROCESSING EQUIPT (0%); PROF SERV COMPUTER SERVICES (0%),0.0
ECS FEDERAL LLC,Mixed,Police Department,"IT services contractor (VA). Cloud, cybersecurity, AI/ML for federal government. 4,000 employees.",0,0,0,0,0,0,0,627733,7366439,7141326,5767786,"4601 (78%, MANAGEMENT INFORMATION SYSTEMS); 2753 (18%, FFY21 URBAN AREA SECURITY INITIATIVE); CRM1 (4%, NYPD: PURCHASE SOFTWARE LICENSES & PROF); 4001 (0%, DEP COMM MANAGEMENT & BUDGET)",DATA PROCESSING EQUIPMENT MAINTENANCE (96%); CAPITAL ONLY FUNDED SBITA (4%); PROMPT PAYMENT INTEREST (0%),4.0
PERATON INC,Mixed,Department of Education; Fire Department; Office of the Comptroller,"National security IT contractor (VA). Cyber, defense, enterprise IT. 18,000 employees. Top 25 defense contractor.",0,0,0,0,0,0,0,4835678,6284075,4868907,5165565,"0702 (67%, INFORMATION SYSTEMS); 7600 (15%, ECTP RELATED COSTS); 4212 (10%, FFY 2022 URBAN AREA SECURITY INITIATIVE); 7157 (8%, SYSTEMS ENGINEERING OTPS); 8807 (1%, UPK DOE CENTRAL); 7263 (0%, OFFICE OF EQUAL OPPORTUNITY); 7731 (0%, OFFICE OF PURCHASING MANAGEMENT); 7719 (0%, DIIT)",DATA PROCESSING EQUIPMENT MAINTENANCE (75%); PROF SERV COMPUTER SERVICES (10%); PROFESSIONAL SVCS CONTRACTUAL (8%); OTHR SERV AND CHRGS-GENERAL (4%); LEASING OF DATA PROC EQUIP (2%); SUPPLIES + MATERIALS - GENERAL (0%); PROMPT PAYMENT INTEREST (0%),10.0
CARAHSOFT TECHNOLOGY CORP,Mixed,Administration for Children's Services; Board of Elections; Brooklyn Community Board # 10; Brooklyn Community Board # 11; Campaign Finance Board; City University of New York; Civilian Complaint Review Board; Department for the Aging; Department of Citywide Administrative Services; Department of Cultural Affairs; Department of Design and Construction; Department of Education; Department of Finance; Department of Health and Mental Hygiene; Department of Probation; Department of Sanitation; Department of Small Business Services; Department of Transportation; Housing Preservation and Development; Landmarks Preservation Commission; Law Department; Mayoralty; NYC Taxi and Limousine Commission; OFFICE OF CRIMINAL JUSTICE; Office of Administrative Tax Appeals; Office of Administrative Trials and Hearings; Office of Payroll Administration; Office of the Comptroller; Police Department; SCHOOL CONSTRUCTION AUTHORITY,"Government IT aggregator/master reseller (VA, founded 2004). 220+ contract vehicles, 10,000+ partners.",0,3404207,3399989,4685808,7275297,6053077,3410542,2232920,6256232,4275054,4467736,"EHRM (36%, ACS: PROCURE SYSTEMS INTEGRATOR FOR ELEC); E707 (9%, 040 E-2366); 6092 (8%, DATA INFRASTRUCTURE); 1601 (8%, MANAGEMENT INFO SVCS); 6600 (7%, MANHATTAN COMMUNITY COLLEGE); E706 (5%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 6500 (3%, KINGSBOROUGH COMM COLLEGE); 2000 (3%, CAMPAIGN FINANCE FUND); 1110 (2%, ADMINISTRATION); 0201 (2%, DEPARTMENTAL OPERATIONS)",CAPITAL PURCHASED EQUIPMENT (36%); OTHR SERV AND CHRGS-GENERAL (16%); ADMINISTRATIVE EXPENSES (14%); PAYMENTS TO DELEGATE AGENCIES (8%); MAINT & REP GENERAL (8%); DATA PROCESSING SUPPLIES (6%); ADVERTISING (5%); DATA PROCESSING EQUIPMENT MAINTENANCE (2%); PROF SERV OTHER (2%); CONTRACTUAL SERVICES GENERAL (1%),0.0
